room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
18465,71120,Entire home/apt,,4,14,5,5,1,200,6,21.275076,-157.822127,09:12.7
9530061,2393210,Entire home/apt,,3,4,4.5,,3,215,6,21.38098,-157.714004,09:10.4
10753585,8900546,Entire home/apt,,4,5,5,2,0,74,2,21.272903,-157.82184,09:05.9
3985763,14898273,Entire home/apt,,3,14,4.5,2,0,175,3,21.33399,-157.698177,08:59.7
3824056,19673405,Entire home/apt,,4,18,4.5,4,0,109,1,21.280777,-157.826406,08:47.0
5827203,30249185,Entire home/apt,,5,36,4.5,2,0,500,3,21.278012,-157.820793,08:44.4
2217387,11312285,Entire home/apt,,5,13,4,3,2,98,3,21.29247,-157.835455,08:39.7
651724,3274220,Private room,,5,41,4.5,4,1,89,3,21.28685,-157.81864,08:36.1
8670034,2904744,Entire home/apt,,4,2,5,3,0,100,1,21.277249,-157.821795,08:29.5
4395311,18102286,Entire home/apt,,4,3,4,5,1,109,7,21.280888,-157.826895,08:22.8
648171,2709332,Entire home/apt,,4,61,4,2,0,100,2,21.27223,-157.82223,08:20.3
3792634,4150084,Private room,,1,2,5,4,1,349,7,21.332394,-158.121924,08:15.4
9475087,49108425,Entire home/apt,,2,0,,,3,250,2,21.581591,-158.137564,08:09.6
4403306,21901912,Entire home/apt,,4,58,5,2,0,115,1,21.286625,-157.840608,08:06.0
9185636,1191923,Entire home/apt,,4,2,4.5,,3,550,4,21.263318,-157.709214,07:55.9
6316858,24695894,Entire home/apt,,2,6,5,,3,180,1,21.575877,-158.1572,07:53.4
6216459,8639270,Entire home/apt,,4,0,,3,0,120,1,21.290976,-157.840543,07:42.6
10409472,41521066,Private room,,5,10,4.5,2,1,79,1,21.287291,-157.827984,07:35.6
1436904,7719195,Entire home/apt,,5,13,4.5,2,0,125,7,21.29215,-157.84888,07:31.6
4493461,23307824,Entire home/apt,,2,9,4,2,1,185,1,21.700238,-157.99758,07:28.4
9974656,740644,Entire home/apt,,4,7,4.5,2,0,140,1,21.285812,-157.832468,07:25.9
10772600,1160131,Entire home/apt,,4,3,4.5,,3,499,4,21.268767,-157.781415,07:18.7
2894376,12270636,Entire home/apt,,4,6,5,4,2,149,2,21.290071,-157.793744,06:58.3
7622382,31181927,Private room,,5,12,4,2,1,65,1,21.301533,-157.784644,06:37.4
2644958,8074030,Entire home/apt,,3,16,4.5,2,0,155,3,21.387341,-157.730493,06:16.6
6925489,36301349,Private room,,4,27,4.5,2,1,85,2,21.288931,-157.763005,06:10.1
5590822,28954587,Private room,,6,29,4,2,1,55,1,21.325847,-157.857137,06:03.2
9077564,1191923,Entire home/apt,,4,0,,,4,575,4,21.260502,-157.818368,05:59.3
3838169,461037,Entire home/apt,,3,0,,,4,720,5,21.419668,-157.791392,05:56.6
3653076,17211617,Entire home/apt,,4,23,5,,3,600,2,21.295353,-157.787202,05:47.7
5904897,25568974,Entire home/apt,,4,14,4.5,2,1,145,1,21.262403,-157.792999,05:45.3
1397533,461037,Entire home/apt,,3,2,5,,5,1409,4,21.419198,-157.791659,05:40.3
9511280,49224276,Shared room,,2,4,4.5,1,1,25,1,21.679966,-158.032026,05:37.4
6628066,29008049,Entire home/apt,,1,3,5,,2,430,1,21.330453,-158.122306,05:34.5
8048473,42501884,Entire home/apt,,1,4,5,,2,139,1,21.480903,-158.20314,04:24.2
10858098,3435373,Private room,,5,0,,2,1,100,1,21.285176,-157.813477,04:21.7
573823,2823790,Private room,,4,155,4.5,2,1,60,,21.26715,-157.812018,04:19.0
4709860,5454711,Entire home/apt,,3,5,4,4,,145,3,21.358706,-157.765392,04:12.7
4404419,10496350,Entire home/apt,,4,0,,,3,1200,14,21.286229,-157.837269,04:00.5
3466673,16450594,Entire home/apt,,2,3,4.5,,3,249,3,21.604304,-157.909501,03:52.0
1351707,1616039,Entire home/apt,,4,89,4.5,4,1,135,2,21.278528,-157.828889,03:48.4
6285718,28798420,Entire home/apt,,4,30,4.5,4,1,125,2,21.280303,-157.826812,03:45.4
8053732,14654082,Entire home/apt,,5,1,4,2,0,129,3,21.281787,-157.824835,03:41.1
4204584,21117352,Private room,,8,11,5,2,1,40,2,21.393751,-157.953079,03:38.1
3877896,18251510,Entire home/apt,,1,6,4,,4,575,5,21.406293,-158.177179,03:34.7
9671385,49976686,Private room,,1,13,4.5,2,1,60,1,21.419275,-158.175187,03:31.0
2050669,10509623,Entire home/apt,,3,2,5,2,1,200,5,21.392274,-157.733054,03:28.4
5059152,26122657,Entire home/apt,,3,59,4.5,,3,155,1,21.406447,-157.791576,03:26.3
6665640,33380091,Entire home/apt,,4,0,,5,1,190,1,21.273866,-157.821057,03:22.2
3039592,15477457,Private room,,4,57,5,1,1,63,3,21.26829,-157.814378,03:19.0
10177908,43793840,Entire home/apt,,4,2,4.5,2,0,94,2,21.275573,-157.824165,03:16.3
673269,3416690,Entire home/apt,,1,0,,,10,520,1,21.439274,-158.156363,02:52.7
6959969,36496273,Private room,,3,38,5,2,1,105,1,21.3894,-157.739728,02:50.1
5326957,3317450,Entire home/apt,,4,39,5,4,0,229,2,21.282172,-157.839163,02:46.9
7535166,3332623,Entire home/apt,,4,30,5,4,1,165,1,21.277275,-157.824166,02:40.2
343030,1740542,Entire home/apt,,4,45,4,,2,375,3,21.279374,-157.828181,02:30.1
9559806,49108425,Entire home/apt,,2,5,5,2,1,129,2,21.581652,-158.137255,02:22.9
5103204,26367237,Private room,,2,44,4.5,2,1,54,1,21.56809,-158.124969,02:15.0
3386000,2783824,Entire home/apt,,4,68,5,3,0,128,1,21.285637,-157.834361,02:04.5
9648410,43476117,Entire home/apt,,2,7,4.5,5,1,125,3,21.588359,-157.892015,02:02.6
3552680,17884832,Entire home/apt,,3,41,5,4,1,200,2,21.388783,-157.740286,02:00.0
6118195,6372673,Entire home/apt,,3,4,4.5,4,2,228,3,21.415767,-157.815427,01:57.9
8375127,34024330,Entire home/apt,,4,1,,4,1,136,3,21.284756,-157.837476,01:54.2
6664137,34884725,Shared room,,4,1,5,1,1,68,1,21.268915,-157.8105,01:51.4
2635477,12935092,Private room,,7,24,5,2,1,73,3,21.353615,-157.921387,01:47.3
8035488,41013345,Entire home/apt,,4,0,,4,2,120,,21.269343,-157.813047,01:44.9
11140228,3120933,Entire home/apt,,5,2,4,3,1,90,1,21.290537,-157.821199,01:39.2
3220160,2349948,Entire home/apt,,4,47,4.5,3,0,99,2,21.275039,-157.822799,01:33.9
152046,85234,Entire home/apt,,4,147,4.5,3,1,95,3,21.271377,-157.820768,01:30.2
1148522,6296305,Entire home/apt,,4,64,4.5,3,1,115,2,21.2791,-157.748992,01:26.0
10417359,53652936,Entire home/apt,,4,1,5,,3,300,4,21.290274,-157.724187,01:23.0
7775803,40906769,Private room,,9,6,5,2,1,82,2,21.331319,-158.02008,01:14.1
9739284,23381960,Entire home/apt,,4,7,4.5,5,2,225,3,21.287238,-157.836147,01:10.4
4705987,11206419,Entire home/apt,,3,3,5,4,2,225,30,21.39414,-157.71974,01:02.4
3820259,18610238,Private room,,2,20,4.5,3,1,125,1,21.577136,-158.109046,00:59.4
3909460,2874260,Private room,,2,0,,2,1,175,5,21.670181,-158.042799,00:54.1
9389242,26591491,Entire home/apt,,4,0,,2,0,110,3,21.287675,-157.833717,00:50.5
5871932,22698433,Entire home/apt,,4,8,4.5,4,1,176,3,21.275233,-157.820725,00:38.6
4379110,6448393,Private room,,4,10,5,1,1,80,4,21.288438,-157.833648,00:24.8
10241066,24319052,Entire home/apt,,4,1,4,,2,295,1,21.27371,-157.819931,00:20.8
8647781,36300396,Entire home/apt,,2,3,4.5,2,1,120,3,21.646829,-157.92254,00:18.2
11369219,34480813,Private room,,4,1,5,3,1,90,1,21.272381,-157.779521,00:15.1
9240745,46740539,Entire home/apt,,7,2,5,,6,509,1,21.334361,-157.865663,00:11.9
9202271,12935418,Entire home/apt,,4,15,4,2,1,119,1,21.279555,-157.823576,00:09.6
10058455,42801654,Entire home/apt,,4,0,,,3,638,7,21.284378,-157.703493,00:06.8
5815030,30172914,Entire home/apt,,3,35,5,4,2,150,28,21.41189,-157.750176,00:03.7
164132,783033,Entire home/apt,,1,5,5,,3,535,6,21.334185,-158.120981,00:01.4
8906977,1686121,Entire home/apt,,2,2,4,,5,650,,21.577541,-158.152675,59:50.1
11061611,21384555,Private room,,5,1,3,2,1,70,1,21.295359,-157.84562,59:43.7
5959541,8390288,Entire home/apt,,2,11,5,,2,170,2,21.650834,-158.052847,59:37.5
10774548,1927133,Private room,,4,1,5,1,1,65,5,21.280167,-157.750165,59:23.3
6542140,12935418,Entire home/apt,,4,38,4.5,1,1,99,1,21.278629,-157.823046,59:17.8
7780613,26157559,Entire home/apt,,3,1,5,4,2,229,5,21.378948,-157.730515,59:07.3
3093150,12305876,Entire home/apt,,2,11,4.5,,2,350,1,21.680259,-158.037771,59:00.0
8020917,42353638,Private room,,2,14,4,2,1,99,1,21.582553,-158.139661,58:54.2
5739926,12305876,Entire home/apt,,2,14,4.5,,2,340,1,21.67882,-158.038698,58:50.6
9596981,21740127,Entire home/apt,,4,14,5,2,0,79,1,21.286982,-157.840101,58:44.3
9153876,47655441,Private room,,2,2,4.5,2,1,70,2,21.640452,-158.048056,58:37.1
10344743,14825612,Entire home/apt,,4,2,5,4,2,140,7,21.286132,-157.831497,58:33.1
8552785,27816428,Private room,,7,27,4.5,1,1,45,1,21.349938,-157.921138,58:22.9
3314290,16660738,Entire home/apt,,3,2,5,,4,1000,1,21.420712,-157.746333,58:16.5
8653559,1740542,Entire home/apt,,2,1,1,2,1,80,4,21.452276,-157.827913,58:08.8
6056886,31428641,Private room,,5,34,4.5,3,1,80,1,21.307957,-157.81634,58:02.9
5077649,26221318,Private room,,2,21,4.5,2,1,90,1,21.679466,-158.035103,57:59.8
9065314,47054315,Entire home/apt,,2,0,,,2,229,,21.700437,-157.993647,57:55.8
10321813,17535581,Private room,,5,0,,1,1,42,2,21.324962,-157.798807,57:48.6
4083313,14898273,Entire home/apt,,3,2,4,,5,575,3,21.340009,-157.701555,57:41.6
6665597,33380091,Entire home/apt,,4,0,,6,1,180,1,21.275776,-157.822257,57:31.8
